Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Dantra, Ruskin; Grundy, John; Hosking, John; ",A domain-specific visual language for report writing using Microsoft DSL tools,2009 IEEE Symposium onVisual Languages and Human-Centric Computing (VL/HCC 2009),,,15-22,2009,IEEE
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; ",Visualising Event-based Software Systems: Issues and Experiences,SoftVis97,,,,1997,
"Khambati, Abizer; Grundy, John; Warren, James; Hosking, John; ",Model-driven development of mobile personal health care applications,23rd IEEE/ACM International Conference on Automated Software Engineering (ASE2008),,,467-470,2008,IEEE Computer Society
"Kamalrudin, Massila; Grundy, John; Hosking, John; ",Tool support for essential use cases to better capture software requirements,25th IEEE/ACM international conference on Automated software engineering (ASE 2010),,,255-264,2010,ACM
"Grundy, John; ",Summary of the INTERACT97 Workshop on the Next Generation of CSCW Systems,Human-Computer Interaction INTERACT’97,,,699-700,1997,Springer US
"Ossher, Harold; van der Hoek, André; Storey, Margaret-Anne; Grundy, John; Bellamy, Rachel; ",Flexible modeling tools (flexitools2010),32nd ACM/IEEE International Conference on Software Engineering (ICSE2010),,,441-442,2010,ACM
"Grundy, John; Mugridge, Rick; Hosking, John; Kendall, Paul; ",A visual language and environment for EDI message translation,Proceedings IEEE Symposia on Human-Centric Computing Languages and Environments (VL/HCC 2001),,,330-331,2001,IEEE
"Grundy, John; ","Distributed component engineering using a decentralised, internet-based environment","3rd ICSE Workshop on Software Engineering over the Internet, Limerick, Ireland, June 2000",,,,2000,
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; ",Support for end-user specification of work coordination in workflow systems,"Proceedings of the 2nd International Workshop on End-User Development, Barcelona, Spain",,,,1997,
"Stoeckle, Hermann; Grundy, John; Hosking, John; ",Notation exchange converters for software architecture development,11th ACM SIGSOFT Symposium on the Foundations of Software Engineering (ESEC/FSE 2003),,,,2003,
"Salleh, Norsaremah; Mendes, Emilia; Grundy, John; Burch, Giles St J; ",The effects of neuroticism on pair programming: An empirical study in the higher education context,2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM 2010),,,22,2010,ACM
"Grundy, John C; Hoking, JG; ",Integrated object-oriented software development in SPE,"Proceedings of the 13th NZCS Conference, Aucland, New Zealand",,,,1993,NZCS
"Singh, Santokh; Hosking, John; Grundy, John; ",Deploying Multi-Agents for Intelligent Aspect-Oriented Web Services,Pacific Rim International Workshop on Multi-Agents,,,284-296,2005,Springer Berlin Heidelberg
"Cao, Shuping; Grundy, John; Hosking, John; Stoeckle, Hermann; Tempero, Ewan; Zhu, Nianping; ",Generating web-based user interfaces for diagramming tools,Sixth Australasian conference on User interface (AUIC 2005),,,63-72,2005,"Australian Computer Society, Inc."
"Mugridge, WB; Hosking, JG; Grundy, JC; ","Vixels, createthroughs, dragthroughs and attachment regions in BuildByWire",1998 Australian Computer Human Interaction Conference (OZCHI 1998),,,320-327,1998,IEEE
"Grundy, John C; Mugridge, Warwick B; Hosking, John G; ",Utilising past event histories in a process-centred software engineering environment,1997 Australian Software Engineering Conference (ASWEC 1997),,,127-136,1997,IEEE
"Kamalrudin, Massila; Hosking, John; Grundy, John; ",MaramaAI: Automated and Visual Approach for Inconsistency Checking of Requirements,18th IEEE International Requirements Engineering Conference (RE 2010),,,393-394,2010,IEEE
"Ali, Norhayati Mohd; Hosking, John; Huh, Jun; Grundy, John; ",Critic Authoring Templates for Specifying Domain-Specific Visual Language Tool Critics,2009 Australian Software Engineering Conference (ASWEC'09),,,81-90,2009,IEEE
"Grundy, John; Jin, Weiguo; ","Experiences developing a thin-client, multi-device travel planning application",Proceedings of the SIGCHI-NZ Symposium on Computer-Human Interaction,,,85-90,2002,ACM
"Grundy, John C; Venable, John R; Hosking, John G; Mugridge, Warwick B; ",Supporting collaborative work in integrated information systems engineering environments,"Proceedings of the Seventh Workshop on the Next Generation of CASE Tools, Greece",,,,1996,
"Kamalrudin, Massila; Hosking, John; Grundy, John; ",Improving requirements quality using essential use case interaction patterns,33rd IEEE/ACM International Conference on Software Engineering (ICSE 2011),,,531-540,2011,IEEE
"Huh, Jun; Grundy, John; Hosking, John; Liu, Karen; Amor, Robert; ",Integrated data mapping for a software meta-tool,2009 Australian Software Engineering Conference (ASWEC'09),,,111-120,2009,IEEE
"Grundy, John C; ",Supporting flexible collaborative software development with SPE–Serendipity,,,,,1996,Citeseer
"Grundy, John; ",Software engineering tools,34th Annual Hawaii International Conference on System Sciences (HICSS 2001),,,3914-3914,2001,IEEE
"Grundy, John; Welland, Ray; Stoeckle, Hermann; ",Workshop on directions in software engineering environments (WoDiSEE),ACM SIGSOFT Software Engineering Notes,29,5,1-3,2004,ACM
"Grundy, John C; Hosking, John G; ",Visual language support for planning and coordination in cooperative work systems,1996 IEEE Symposium on Visual Languages (VL 1996),,,324-325,1996,IEEE
"Hosking, John; Mugridge, Warwick; Amor, Robert; Grundy, John; ",Keeping things consistent,New Zealand Journal of Computing,6,1,353-362,1995,Citeseer
"Kim, Chul Hwee; Hosking, John; Grundy, John; ",Model Driven Design and Implementation of Statistical Surveys,40th Annual Hawaii International Conference on System Sciences (HICSS 2007),,,285c-285c,2007,IEEE
"Ali, Norhayati Mohd; Hosking, John; Huh, Jun; Grundy, John; ",Template-based critic authoring for domain-specific visual language tools,2009 IEEE Symposium onVisual Languages and Human-Centric Computing (VL/HCC 2009),,,111-118,2009,IEEE
"Chaudhary, Kaylash; Dai, Xiaoling; Grundy, John; ",Experiences in developing a micro-payment system for peer-to-peer networks,International Journal of Information Technology and Web Engineering (IJITWE),5,1,23-42,2010,IGI Global
"Li, Lei; Hosking, John; Grundy, John; ","MaramaEML: An Integrated Multi-View Business Process Modelling Environment with Tree-Overlays, Zoomable Interfaces and Code Generation",Proceedings of the 2008 23rd IEEE/ACM International Conference on Automated Software Engineering,,,477-478,2008,IEEE Computer Society
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; Armor, Robert W; ","Collaborative, integrated software development with multiple views","Dept Computer Science, University of Waikato",,Working Paper series 94/6,,1994,
"Kamalrudin, Massila; Grundy, John; ",Generating essential user interface prototypes to validate requirements,26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),,,564-567,2011,IEEE
"Avgeriou, Paris; Grundy, John; Hall, Jon G.; Lago, Patricia; Mistrík, Ivan; ",Relating software requirements and architectures,,,,,2011,Springer-Verlag New York Inc
"Cai, Yuhong; Grundy, John; Hosking, John; Dai, Xiaoling; ",Software Architecture Modelling and Performance Analysis with Argo/MTE,2004 Conference on Software Engineering and Knowledge Engineering (SEKE 2004),,,,2004,
"Grundy, John; ",Teaching Information Systems with Simulations: Issues and Experiences,Journal of Informatics – Education and Research,4,1,,2002,
"Hosking, John; Grundy, John; ",Meta tools for implementing domain specific visual languages,22nd IEEE/ACM International conference on Automated software engineering (ASE 2007),,,576-576,2007,ACM
"Hirsch, Christian; Hosking, John; Grundy, John; ",VikiBuilder: end-user specification and generation of visual wikis,25th IEEE/ACM international conference on Automated software engineering (ASE 2010),,,13-22,2010,ACM
"Blagojevic, Rachel; Plimmer, Beryl; Grundy, John; Wang, Yong; ",Development of techniques for sketched diagram recognition,2008 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2008),,,258-259,2008,IEEE
"Ali, Norhayati Mohd; Hosking, John; Grundy, John; ",A taxonomy of computer-supported critics,2010 International Symposium on Information Technology (ITSim 2010),3,,1152-1157,2010,IEEE
"Su, Moon Ting; Hosking, John; Grundy, John; ",Capturing architecture documentation navigation trails for content chunking and sharing,9th Working IEEE/IFIP Conference on Software Architecture (WICSA 2011),,,256-259,2011,IEEE Computer Society
"Almorsy, Mohemed; Grundy, John; Ibrahim, Amani S; ",Collaboration-Based Cloud Computing Security Management Framework,IEEE International Conference on Cloud Computing (CLOUD 2011),,,364-371,2011,IEEE
"Blagojevic, Rachel; Plimmer, Beryl; Grundy, John; Wang, Yong; ",Using data mining for digital ink recognition: Dividing text and shapes in sketched diagrams,Computers & Graphics,35,5,976-991,2011,Pergamon
"Hosking, JG; Grundy, JC; ",Using change descriptions to maintain consistency across multiple representations,,,,,1995,"Department of Computer Science, The University of Auckland, New Zealand"
"Dai, Xiaoling; Grundy, John; ",NetPay Micro-Payment Protocols for Three Networks,Emergent Web Intelligence: Advanced Semantic Technologies,,,429-449,2010,Springer London
"Salleh, Norsaremah; Mendes, Emilia; Grundy, John; ",The effects of openness to experience on pair programming in a higher education context,24th IEEE-CS Conference on Software Engineering Education and Training (CSEE&T 2011),,,149-158,2011,IEEE
"Nixon, April; Grundy, John; ","Reciprocity: an integrated, continuous approach to software training authoring, delivery and monitoring",2004 Australian Software Engineering Conference (ASWEC 2004),,,262-270,2004,IEEE
"Li, Karen; Hosking, John; Grundy, John; Ly, Tony; Webb, Brian; ","Augmenting DSVL Meta-Tools with Pattern Specification, Instantiation and Reuse",Electronic Communications of the EASST,31,0,,2011,
"Hosking, JG; Grundy, JC; Mugridge, WB; ",Applying the Evolving Frameworks Pattern Language to Multi-View Software Design Tools,"Department of Computer Science, University of Auckland, New Zealand",,,,2004,
"Kim, Chul Hwee; Hosking, John; Grundy, John; ",Generating Web Services for Statistical Survey Packages from Domain-specific Visual Languages,"Incorporating COTS Software into Software Systems: Tools and Techniques, 2007. IWICSS'07. Second International Workshop on",,,5-5,2007,IEEE
"Grundy, John; Hosking, John; ",Human-Computer Interaction Issues For The Configuration Of Component-Based Software Systems,"In 1999 Australian Human Computer Interaction Conference (OZCHI 1999), Wagga Wagga Nov 28-30 1999, Charles Sturt University Press",,,37-43,1999,
"Grundy, John; Hosking, John; Cai, Yuhong; ",Software design system and method,,,,,2004,"US Patent App. 10/826,381"
"Mugridge, W; Grundy, JC; Hosking, JG; Bryant, D; ",Supporting information mapping in Health Informatics via integrated message transformation,2002 Health Informatics New Zealand Conference (HIC 2002),,,8-10,2002,
"Ibrahim, Amani S; Hamlyn-Harris, James; Grundy, John; Almorsy, Mohamed; ",CloudSec: A security monitoring appliance for Virtual Machines in the IaaS cloud model,5th International Conference on Network and System Security (NSS 2011),,,113-120,2011,IEEE
"Grundy, John; ",Desert Island,Automated Software Engineering,10,3,303-304,2003,Springer
"Moreira, Ana; ","Early Aspects: Current Challenges and Future Directions: 10th International Workshop, Vancouver, Canada, March 13, 2007, Revised Selected Papers",,,,,2007,Springer
"Draheim, Dirk; Grundy, John; Hosking, John; Lutteroth, Christof; Weber, Gerald; ",Software Engineering Tools: Trends of Software Engineering Tools and Platforms,,,,,2007,Springer Berlin
"Li, Karen; Hosking, John; Grundy, John; ",A generic technique for domain-specific visual language model refactoring to patterns,Electronic Communications of the EASST,31,,,2010,
"Ossher, Harold; van der Hoek, André; Storey, Margaret-Anne; Grundy, John; Bellamy, Rachel; Petre, Marian; ",Workshop on flexible modeling tools:(FlexiTools 2011),"33rd IEEE/ACM International Conference on Software Engineering (ICSE 2011), Honolulu, Hawaii, USA, May 2011",,,1192-1193,2011,IEEE
"Grundy, John; Hosking, John; Cao, Shuping; Zhao, Denjin; Zhu, Nianping; Tempero, Ewan; Stoeckle, Hermann; ",Experiences developing architectures for realizing thin‐client diagram editing tools,Software: Practice and Experience,37,12,1245-1283,2007,Wiley Online Library
"Chen, Xiaofan; Hosking, John; Grundy, John; ",A Combination Approach for Enhancing Automated Traceability,"33rd IEEE/ACM International Conference on Software Engineering (ICSE 2011), New Idead Track, Honolulu, Hawaii, USA, May 2011",,,,2011,
"Mohd Ali, Norhayati; Hosking, John; Grundy, John; Huh, Jun; ",End-user oriented critic specification for domain-specific visual language tools,25th IEEE/ACM international conference on Automated software engineering (ASE 2010),,,297-300,2010,ACM
"Zhang, Rick; Hosking, John; Grundy, John; Mehandjiev, Nikolay; Carpenter, Martin; ",Design of a suite of visual languages for supply chain specification,2010 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2010),,,240-243,2010,IEEE Computer Society
"Hirsch, Christian; Hosking, John; Grundy, John; Chaffe, Tim; ",ThinkFree: using a visual Wiki for IT knowledge management in a tertiary institution,6th International Symposium on Wikis and Open Collaboration (WikiSim 2010),,,7,2010,ACM
"Chen, Xiaofan; Grundy, John; ",Improving automated documentation to code traceability by combining retrieval techniques,26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),,,223-232,2011,IEEE
"Grundy, John C; Hosking, John G; ",Approaches for utilising ‘Work Contexts’ in CSCW systems,OzCHI'96 Workshop on the Next Generation of CSCW Systems,,,15-20,1996,
"Grundy, John; ",A Graduate Course on E-commerce Information Systems Engineering,Journal of Informatics Education and Research,2,2,,2000,IAIM Press
"Yap, Pei Shan; Hosking, John; Grundy, John; ",Automatic diagram layout support for the Marama meta-toolset,2011 IEEE Symposium onVisual Languages and Human-Centric Computing (VL/HCC 2011),,,61-64,2011,IEEE
"Su, Moon Ting; Hosking, John; Grundy, John; ",KaitoroCap: a document navigation capture and visualisation tool,9th Working IEEE/IFIP Conference on Software Architecture (WICSA 2011),,,359-362,2011,IEEE Computer Society
"Dai, Xiaoling; Grundy, John; ",Three integration methods for a component-based NetPay vendor system,"Computational and Information Science, Lecture Notes in Computer Science, 2005, Volume 3314/2005",,,782-787,2005,Springer Berlin/Heidelberg
"Liu, Ray; Wong, Lisa; Grundy, John; ",Experiences Developing an E-whiteboard-based Circuit Designer,Software Engineering Research and Practice,,,739-744,2003,
"Grundy, John; ",What We Know (and Do not Know) About Collaborative Software Engineering,Collaborative Software Engineering,,,237,2010,Springer Science & Business Media
"Grundy, John; ",Construction of an Integrated and Extensible Software Architecture Modelling Environment,"2nd ICSE Workshop on Constructing Software Engineering Tools (CoSET 2000), Limerick, Ireland, June 2000",,,,2000,
"Kanij, Tanjila; Merkel, Robert; Grundy, John; ",A Preliminary Study on Factors Affecting Software Testing Team Performance,2011 International Symposium on Empirical Software Engineering and Measurement (ESEM 2011),,,359-362,2011,IEEE
"Li, Karen; Hosking, John; Grundy, John; ",A Generalised Event Handling Framework,"KISS Workshop, 2009 International Conference on Automated Software Engineering (ASE 2009)",,,,2009,
"Blagojevic, Rachel; Plimmer, Beryl; Grundy, John; Wang, Yong; ",Building digital ink recognizers using data mining: distinguishing between text and shapes in hand drawn diagrams,"International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems",,,358-367,2010,Springer Berlin Heidelberg
"Amor, Robert; Augenbroe, Godfried; Hosking, John; Rombouts, Wouter; Grundy, John; ",Directions in modelling environments,Automation in Construction,4,3,173-187,1995,Elsevier
"Dai, Xiaoling; Chaudhary, Kaylash; Grundy, John; ",P2P-NetPay: A Micro-Payment System for Networks,Models for Capitalizing on Web Engineering Advancements: Trends and Discoveries,,,159-182,2012,Information Science Reference
"Grundy, JC; Hosking, JG; ",ViTABaL: a visual language supporting design by tool abstraction,11th IEEE Symposium on Visual  Languages (VL 1995),,,,1995,
"Grundy, John; Kaefer, Gerald; Keong, Jacky; Liu, Anna; ",Software Engineering for the Cloud,IEEE Software,29,2,26,2012,
"Kanij, Tanjila; Merkel, Robert; Grundy, John; ",Performance Assessment Metrics for Software Testers,3rd ICSE workshop on Co-operative and Human Aspects of Software Engineering (CHASE 2012),,,,2012,
"Chen, FeiFei; Schneider, Jean-Guy; Yang, Yun; Grundy, John; He, Qiang; ",An Energy Consumption Model and Analysis Tool for Cloud Computing Environments,1st ICSE Workshop on Green and Sustainable Software Engineering (GREENS 2012),,,,2012,
"Almorsy, Mohamed; Grundy, John; ",SMURF: Supporting Multi-tenancy Using Re-Aspects Framework,17th IEEE International Conference on Engineering Complex Computer Systems (ICECCS 2012),,,,2012,IEEE
"Jaafar, Mohamad Farid; Grundy, J; Hosking, J; ",A High-Level Visual Test Specification Model for DSVL,"2010 Asia-Pacific Software Engineering Conference (APSEC 2010), Doctoral Symposium, Sydney, Australia, Nov 30 2010.",,,,2010,IEEE
"Hirsch, Christian; Hosking, John; Grundy, John; ",VikiBuilder: Let’s build a Visual Wiki,"Poster and Demo Session at the 21st Australian Software Engineering Conference (ASWEC 2010), Auckland, New Zealand, Apr 6-9, 2010",,,,2010,
"Almorsy, Mohamed; Grundy, John; Ibrahim, Amani S; ",TOSSMA: A Tenant-Oriented SaaS Security Management Architecture,"5th IEEE 2012 International Conference on Cloud Computing (CLOUD 2012), Honolulu, Hawaii, United States, 24-29 June 2012",,,,2012,IEEE
"Hosking, JG; Grundy, JC; Mugridge, WB; ",Applying and evolving the evolving frameworks pattern language,"Proceedings of the Second Asian Pacific Pattern Languages of Programming Conference, KoalaPLoP'2001",,,,2001,
"Grundy, John C; Hosking, John G; Li, Karen; Ali, Norhayati Mohd; Huh, Jun; Li, Richard Lei; ",Generating Domain-Specific Visual Language Tools from Abstract Visual Specifications,IEEE Transactions on Software Engineering,39,4,487 - 515,2013,IEEE
"He, Qiang; Han, Jun; Yang, Yun; Grundy, John; Jin, Hai; ",QoS-Driven Service Selection for Multi-Tenant SaaS,"5th IEEE 2012 International Conference on Cloud Computing (CLOUD 2012), Honolulu, Hawaii, United States, 24-29 June 2012",,,,2012,IEEE
"Ibrahim, Amani S; Hamlyn-Harris, James; Grundy, John; Almorsy, Mohamed; ",Supporting Virtualization-Aware Security Solutions using a Systematic Approach to Overcome the Semantic Gap,"5th IEEE 2012 International Conference on Cloud Computing (CLOUD 2012), Honolulu, Hawaii, United States, 24-29 June 2012",,,,2012,IEEE
"Ibrahim, Amani; Hamlyn-Harris, James; Grundy, John; ",Virtual Machines Security in IaaS Platform,Technical Report,,,,2012,
"Chen, Xiaofan; Hosking, John; Grundy, John; ",Visualizing Traceability Links between Source Code and Documentation,2012 IEEE International Conference on Visual Languages and Human-Centric Computing (VL/HCC 2012),,,,2012,IEEE
"Kamalrudin, Massila; Grundy, John; Hosking, John; ",Supporting Requirements Modelling in the Malay Language using Essential Use Cases,2012 IEEE International Conference on Visual Languages and Human-Centric Computing (VL/HCC 2012),,,,2012,IEEE
"Ibrahim, Amani S; Grundy, John; Hamlyn-Harris, James; Almorsy, Mohamed; ",Supporting Operating System Kernel Data Disambiguation Using Points-to Analysis,2012 ACM/IEEE International Conference on Automated Software Engineering (ASE 2012),,,,2012,ACM
"Almorsy, Mohemed; Grundy, John; Ibrahim, Amani S; ",Supporting Automated Vulnerability Analysis using Formalized Vulnerability Signatures,2012 ACM/IEEE International Conference on Automated Software Engineering (ASE 2012),,,,2012,
"Kamalrudin, Massila; Grundy, John; Hosking, John; ",MaramaAI: Tool Support for Capturing and Managing Consistency of Multi-lingual Requirements,2012 ACM/IEEE International Conference on Automated Software Engineering (ASE 2012),,,,2012,ACM
"Su, Moon Ting; Tempero, Ewan; Hosking, John; Grundy, John; ",A Study of Architectural Information Foraging in Software Architecture Documents,2012 IEEE/IFIP Working Conference on Software Architecture (WICSA 2012),,,,2012,
"Nguyen, Tuong Huan; Vo, Bao Quoc; Lumpe, Markus; Grundy, John; ",REInDetector: A Framework for Knowledge-based Requirements Engineering,2012 ACM/IEEE International Conference on Automated Software Engineering (ASE 2012),,,,2012,ACM
"Avazpour, Iman; Grundy, John; ",CONVErT: A Framework for Complex Model Visualisation and Transformation,2012 IEEE Symposium on Visual Languages and Human-Centric Computing (VLHCC 2012),,,,2012,IEEE
"Ibrahim, Amani S; Hamlyn-Harris, James; Grundy, John; Almorsy, Mohamed; ",Identifying OS Kernel Objects for Run-time Security Analysis,"Proc. of 6th International Conference on Network and System Security (NSS 2012), Fujian, China, Nov 2012",,,,2012,Springer
"Ibrahim, Amani S; Hamlyn-Harris, J; Grundy, J; Almorsy, Mohamed; ",Operating System Kernel Data Disambiguation to Support Security Analysis,"Proc. of 6th International Conference on Network and System Security (NSS 2012), Fujian, China, Nov 2012",,,,2012,Springer
"Grundy, Judith R; Grundy, John C; ","Australian Social Services Agency Software: Requirements, Current Usage and Opportunities","Technical Report, Faculty of ICT, Swinburne University of Technology, August 2011",,,12pp,2011,
"Almorsy, Mohamed; Grundy, John; Ibrahim, Amani S; ",VAM-aaS: Online Cloud Services Security Vulnerability Analysis and Mitigation-as-a-Service,"2012 International Conference on Web Information Systems Engineering (WISE 2012), Cypus, Nov 2012",,,,2012,Springer
"Almorsy, Mohamed; Grundy, John; Ibrahim, Amani S; ",Supporting automated software re-engineering using re-aspects,27th IEEE/ACM International Conference on Automated Software Engineering (ASE 2012),,,230-233,2012,IEEE
"Li, Karen; Grundy, JC; Hosking, JG; Li, Lei; ",Visualising Event-based Information Models: Issues and Experiences,"Proceedings of Visual Analytics in Software Engineering, Workshop at",,,,2009,
"Ibrahim, Amani S; Hamlyn-Harris, James; Grundy, John C; Almorsy, Mohamed; ",DIGGER: Identifying Operating System Dynamic Kernel Objects for Run-time Security Analysis,International Journal of Internet and Distributed Computing Systems,3,1,184-194,2013,
"Grundy, John; Hosking, John; ",Recent Experiences with Code Generation and Task Automation Agents in Software Tools,"1st International Workshop on the State of the Art in Automated Software Engineering, Irvine, CA, 27th June 2002.",,,,2002,
"Gianoutsos, Simon; Grundy, John; ",Qualitative Evaluation of a Collaborative Web Browser,OZCHI 1996 Workshop on Next Generation of Collaborative Work Systems,,,,1996,University of Waikato
"Almorsy, Mohamed; Grundy, John; Ibrahim, Amani S; ",MDSE@ R: Model-Driven Security Engineering at Runtime,"4th International Symposium on Cyberspace Safety and Security (CSS 2012), Melbourne, Australia, Dec 12-13 2012",,,,2012,Springer
"Salleh, Norsaremah; Mendes, Emilia; Grundy, John C; ",Investigating the effects of personality traits on pair programming in a higher education setting through a family of experiments,Empirical Software Engineering,19,3,714-752,2014,Springer
"Grundy, Judith R; Grundy, John C; ",A Survey of Australian Human Services Agency Software Usage,Journal of Technology in Human Services,31,1,,2013,"Taylor & Francis,"
"Grundy, John Collis; ",Multiple textual and graphical views for Interactive Software Development Environments,,,,,1993,ResearchSpace@ Auckland
"Grundy, John C; ",Setting up and Running Effective Industry Advisory Boards for your Department,The Department Chair,24,4,,2013,Jossey-Bass / Wiley
"Ip, Tony; Lomberg, Kelvin; Grundy, John; Hosking, John; Huh, Jun; ",Realising Web Diagramming Applications with OpenLaszlo and Eclipse,"Technical Report, University of Auckland",,,,2009,University of Auckland
"Grundy, John; ",Integrating Software Architecture Topics into a Software Engineering Curriculum,"1999 Australasian Workshop on Software Architectures, Sydney, Nov 1999",,,,1999,
"Hall, Jon G; Grundy, John; Mistrik, Ivan; Lago, Patricia; Avgeriou, Paris; ",Introduction: Relating requirements and architectures,Relating Software Requirements and Architectures,,,1-9,2011,Springer Berlin Heidelberg
"Avgeriou, Paris; Grundy, John; Hall, J; Lago, Patricia; Mistrík, Ivan; ",Experiences from Industrial Projects,Relating Software Requirements and Architectures,,,199-201,2011,Springer Berlin Heidelberg
"Grundy, John; Lago, Patricia; Avgeriou, Paris; Hall, J; Mistrík, Ivan; ",Theoretical Underpinnings and Reviews,Relating Software Requirements and Architectures,,,13-15,2011,Springer Berlin Heidelberg
"Grundy, John; Avgeriou, Paris; Hall, J; Lago, Patricia; Mistrik, Ivan; ",Emerging Issues in Relating Software Requirements and Architecture,Relating Software Requirements and Architectures,,,303-306,2011,Springer Berlin Heidelberg
"Grundy, John; Hosking, John; ",Guest editors introduction: special issue on innovative automated software engineering tools,Automated Software Engineering,20,2,137-139,2013,Springer US
"Lago, P; Avgeriou, P; Grundy, J; Hall, J; Mistrík, I; ",Tools and Techniques,Relating software requirements and architecture,,,,2011,Springer
"Grundy, John; Cai, Yuhong; Liu, Anna; ",Generation of distributed system test-beds from high-level software architecture descriptions,16th IEEE/ACM International Conference on Automated Software Engineering (ASE 2001),,,193-200,2001,IEEE
"Penix, John; Grundy, John; ",Special Issue on Selected Papers from ASE-2003,Automated Software Engineering,,,,2006,Springer
"Almorsy, Mohamed; Grundy, John; Ibrahim, Amani S; ",Automated Software Architecture Security Risk Analysis Using Formalized Signatures,"2013 IEEE/ACM International Conference on Software Engineering (ICSE 2013), San Franciso, May 2013",,,,2013,IEEE
"Chen, Feifei; Grundy, John; Yang, Yun; Schneider, Jean-Guy; He, Qiang; ",Experimental Analysis of Task-based Energy Consumption in Cloud Computing Systems,4th ACM/SPEC International Conference on Performance Engineering (ICPE2013),,,,2013,ACM
"Kanij, Tanjila; Merkel, Robert; Grundy, John; ",Lessons Learned from Conducting Industry Surveys in Software Testing,ICSE 2013 Workshop on Conducting Empirical Studies in Industry (CESI 2013),,,63-66,2013,IEEE
"Nguyen, Tuong Huan; Vo, Bao Quoc; Lumpe, Markus; Grundy, John; ",KBRE: A Framework for knowledge-based Requirements Engineering,Software Quality Journal,22,1,87-119,2014,Springer
"Kanij, Tanjila; Australia, Hawthorn; Merkel, Robert; Australia, Clayton; Grundy, John; ",An Empirical Study of the Effects of Personality on Software Testing,IEEE Conference on Software Engineering - Education and Training (CSEET2013),,,,2013,IEEE
"Chen, Xiaofan; Hosking, John; Grundy, John; Amor, Robert; ",Development of Robust Traceability Benchmarks,2013 Australasian Conference on Software Engineering (ASWEC 2013),,,,2013,IEEE
"Grundy, John; ",Architecture vs Agile: competition or co-operation?,Agile Software Architecture: Aligning Agile Processes and Software Architecture,,,Foreword,2013,Elsevier
